layer,unit,description,similarity
avgpool,550,storage,0.2281189
avgpool,551,phonephone,0.39736938
avgpool,552,malls,0.3939209
avgpool,553,vendors,0.26235962
avgpool,554,kiosk,0.21401978
avgpool,555,weaving,0.21032715
avgpool,556,bike,0.5175781
avgpool,557,pavilion,0.3065796
avgpool,558,islands,0.21170044
avgpool,559,lighthouse,0.4124756
avgpool,560,burger,0.19345093
avgpool,561,salon,0.35491943
avgpool,562,snowmobile,0.16989136
avgpool,563,equipment,0.15249634
avgpool,564,envelope,0.1468811
avgpool,565,grass,0.2425232
avgpool,566,tent,0.5126648
avgpool,567,baroque,0.33218384
avgpool,568,fruits,0.13839722
avgpool,569,trains,0.5123596
avgpool,570,parking,0.2237854
avgpool,571,conservatory,0.5604248
avgpool,572,stairs,0.1743164
avgpool,573,switchboard,0.21408081
avgpool,574,female,0.3467102
avgpool,575,shops,0.4524536
avgpool,576,tent,0.77560425
avgpool,577,baroque,0.34069824
avgpool,578,classrooms,0.60546875
avgpool,579,poured,0.1272583
avgpool,580,rocks,0.26245117
avgpool,581,sofas,0.31591797
avgpool,582,leaves,0.17654419
avgpool,583,greed,0.15866089
avgpool,584,tables,0.40890503
avgpool,585,offshore,0.16842651
avgpool,586,gardens,0.26470947
avgpool,587,laserjet,0.411438
avgpool,588,rechargeable,0.14071655
avgpool,589,green,0.17810059
avgpool,590,collier,0.26171875
avgpool,591,lexmark,0.15478516
avgpool,592,temple,0.26809692
avgpool,593,volleyball,0.48187256
avgpool,594,sediment,0.27716064
avgpool,595,warehousing,0.35668945
avgpool,596,female,0.5967407
avgpool,597,packaging,0.17596436
avgpool,598,surfer,0.19772339
avgpool,599,chalet,0.39648438
avgpool,600,culinary,0.46725464
avgpool,601,billiards,0.51968384
avgpool,602,landing,0.33181763
avgpool,603,fluorescence,0.2798462
avgpool,604,throne,0.2293396
avgpool,605,noir,0.19885254
avgpool,606,fruit,0.2889099
avgpool,607,buds,0.16177368
avgpool,608,nature,0.18838501
avgpool,609,volleyball,0.39416504
avgpool,610,patio,0.19796753
avgpool,611,cooking,0.17608643
avgpool,612,bookshop,0.45690918
avgpool,613,crossword,0.18838501
avgpool,614,phonephone,0.44766235
avgpool,615,kiosk,0.25186157
avgpool,616,eggs,0.22341919
avgpool,617,butcher,0.2024231
avgpool,618,depot,0.2432251
avgpool,619,porch,0.46374512
avgpool,620,arch,0.16586304
avgpool,621,attic,0.3612976
avgpool,622,bathroom,0.47540283
avgpool,623,attic,0.24526978
avgpool,624,dams,0.2534485
avgpool,625,landscapes,0.18786621
avgpool,626,skiing,0.4500122
avgpool,627,villages,0.3263855
avgpool,628,juvenile,0.28292847
avgpool,629,hdtv,0.26785278
avgpool,630,chapel,0.42523193
avgpool,631,glacier,0.38278198
avgpool,632,shoes,0.31140137
avgpool,633,street,0.37036133
avgpool,634,textile,0.25454712
avgpool,635,tobago,0.46932983
avgpool,636,beach,0.29177856
avgpool,637,shower,0.2008667
avgpool,638,beach,0.20391846
avgpool,639,jukebox,0.2487793
avgpool,640,chefs,0.29125977
avgpool,641,juvenile,0.31463623
avgpool,642,bureau,0.21972656
avgpool,643,bedroom,0.42404175
avgpool,644,booksellers,0.16867065
avgpool,645,hoodia,0.21395874
avgpool,646,platforms,0.35473633
avgpool,647,corridor,0.42437744
avgpool,648,female,0.18347168
avgpool,649,texture,0.2593994
avgpool,650,lobby,0.35516357
avgpool,651,cabinets,0.5248413
avgpool,652,sportswear,0.11380005
avgpool,653,greenhouse,0.30569458
avgpool,654,hoodia,0.47543335
avgpool,655,spiral,0.1315918
avgpool,656,stones,0.34884644
avgpool,657,auditorium,0.60702515
avgpool,658,juvenile,0.32110596
avgpool,659,campus,0.35116577
avgpool,660,stripes,0.37127686
avgpool,661,blinds,0.2171936
avgpool,662,noir,0.13970947
avgpool,663,parade,0.25253296
avgpool,664,novelties,0.17990112
avgpool,665,auditorium,0.69033813
avgpool,666,altar,0.4131775
avgpool,667,courtyard,0.36611938
avgpool,668,dining,0.36288452
avgpool,669,airborne,0.16171265
avgpool,670,warehouses,0.24163818
avgpool,671,wyoming,0.23876953
avgpool,672,cages,0.27261353
avgpool,673,collier,0.585968
avgpool,674,customize,0.16549683
avgpool,675,temples,0.29318237
avgpool,676,tables,0.2833557
avgpool,677,stadium,0.44207764
avgpool,678,female,0.3315735
avgpool,679,stair,0.32348633
avgpool,680,kitchen,0.49038696
avgpool,681,soldiers,0.1697998
avgpool,682,restaurant,0.4960327
