layer,unit,description,similarity
heads,830,ambulance,0.29592896
heads,831,bedrooms,0.6326294
heads,832,temple,0.57229614
heads,833,submarine,0.5071106
heads,834,suit,0.39691162
heads,835,clock,0.32907104
heads,836,sunglasses,0.43948364
heads,837,sunglasses,0.43997192
heads,838,lotion,0.41964722
heads,839,bridge,0.5877075
heads,840,janitorial,0.37060547
heads,841,sweatshirt,0.49523926
heads,842,swimwear,0.34127808
heads,843,swings,0.64572144
heads,844,switchboard,0.3907776
heads,845,injections,0.42739868
heads,846,lamp,0.5075989
heads,847,bmp,0.5401306
heads,848,cassette,0.6559448
heads,849,kettle,0.558136
heads,850,teddy,0.49047852
heads,851,televisions,0.5718689
heads,852,tennis,0.6476135
heads,853,cottages,0.48312378
heads,854,auditorium,0.6180115
heads,855,microphones,0.29281616
heads,856,tractors,0.57351685
heads,857,throne,0.56689453
heads,858,roofing,0.5463257
heads,859,toaster,0.5900574
heads,860,shops,0.3869629
heads,861,toilet,0.57858276
heads,862,torch,0.39971924
heads,863,sculptures,0.41903687
heads,864,towing,0.54693604
heads,865,toys,0.36035156
heads,866,tractor,0.86898804
heads,867,highways,0.50857544
heads,868,trays,0.3880005
heads,869,coat,0.41531372
heads,870,bicycles,0.4819336
heads,871,sailing,0.64608765
heads,872,tripod,0.38012695
heads,873,forum,0.44482422
heads,874,buses,0.80758667
heads,875,trumpet,0.5409851
heads,876,jacuzzi,0.61083984
heads,877,terminals,0.28735352
heads,878,keyboard,0.53674316
heads,879,umbrella,0.4734192
heads,880,bmx,0.46847534
heads,881,piano,0.6259155
heads,882,vacuum,0.57284546
heads,883,vase,0.5909729
heads,884,vaults,0.56848145
heads,885,textile,0.5206604
heads,886,vending,0.65600586
heads,887,archbishop,0.38891602
heads,888,bridge,0.49291992
heads,889,violin,0.7091675
heads,890,volleyball,0.82263184
heads,891,cooking,0.29333496
heads,892,clock,0.6405945
heads,893,wallets,0.7357788
heads,894,closet,0.5487366
heads,895,aircraft,0.49472046
heads,896,sinks,0.6506653
heads,897,dryer,0.6535034
heads,898,bottle,0.48953247
heads,899,pitcher,0.5487976
heads,900,tower,0.4263916
heads,901,pitcher,0.4380188
heads,902,bitpipe,0.35931396
heads,903,wigs,0.44454956
heads,904,window,0.45031738
heads,905,furnished,0.49942017
heads,906,ties,0.32354736
heads,907,wines,0.6063843
heads,908,aircraft,0.53564453
heads,909,cooking,0.5111084
heads,910,utensils,0.5130615
heads,911,wool,0.49145508
heads,912,fence,0.41220093
heads,913,wreck,0.42541504
heads,914,sailing,0.7503662
heads,915,tent,0.6108093
heads,916,homepage,0.5478821
heads,917,comics,0.4595642
heads,918,crossword,0.8122864
heads,919,sign,0.4538269
heads,920,intersection,0.47305298
heads,921,paperback,0.5105896
heads,922,menu,0.69888306
heads,923,australasia,0.43063354
heads,924,salsa,0.44122314
heads,925,soup,0.45996094
heads,926,cooking,0.44470215
heads,927,desserts,0.64746094
heads,928,dessert,0.5529785
heads,929,sweets,0.2741394
heads,930,bread,0.6253662
heads,931,bread,0.3932495
heads,932,glazed,0.3309021
heads,933,burger,0.61053467
heads,934,sausage,0.3935852
heads,935,potatoes,0.45666504
heads,936,cabbage,0.6118164
